Council area,Rank,Population[3],Electors[4],Area (km²)[5],Density(per km²)
Aberdeenshire,6,261470,202194,6313.0,41
Angus,17,116040,89652,2182.0,53
Argyll and Bute,27,86260,68271,6909.0,12
City of Aberdeen,8,227560,163196,185.7,1225
City of Dundee,14,148750,112513,59.83,2486
City of Edinburgh,2,518500,367762,263.4,1969
City of Glasgow,1,626410,462286,174.7,3586
Clackmannanshire,29,51400,39186,159.0,323
Dumfries and Galloway,13,148790,116593,6427.0,23
East Ayrshire,16,121840,94657,1262.0,97
East Dunbartonshire,20,108330,85410,174.5,621
East Lothian,21,105790,80874,679.2,156
East Renfrewshire,23,95170,71618,174.2,546
Falkirk,11,160340,122471,297.4,539
Fife,3,371910,280622,1325.0,281
Highland,7,235540,184697,25657.0,9
Inverclyde,28,78150,59941,160.5,487
Midlothian,25,91340,70587,353.7,258
Moray,22,95520,73284,2238.0,43
Na h-Eileanan Siar (Western Isles),30,26830,21874,3059.0,9
North Ayrshire,15,135280,107763,885.4,153
North Lanarkshire,4,340180,256174,469.9,724
Orkney Islands,32,22190,17135,988.8,22
Perth and Kinross,12,151290,114936,5286.0,29
Renfrewshire,10,177790,133295,261.5,680
Scottish Borders,18,115270,91919,4732.0,24
Shetland Islands,31,22990,17837,1468.0,16
South Ayrshire,19,112550,90300,1222.0,92
South Lanarkshire,5,319020,248875,1772.0,180
Stirling,24,94330,68778,2187.0,43
West Dunbartonshire,26,89130,68826,158.8,561
West Lothian,9,182140,137614,427.7,426
