date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Shetland,Tayside
2020-03-06,1,0,0,2,2,3,1,0,0,1,0,1
2020-03-07,1,0,0,2,2,4,2,0,2,2,0,1
2020-03-08,1,0,0,2,2,4,3,0,2,3,0,1
2020-03-09,1,0,0,2,2,4,3,0,3,5,2,1
2020-03-10,1,0,0,2,2,6,3,0,3,7,2,1
2020-03-11,3,2,0,2,2,6,5,0,4,8,2,2
2020-03-12,4,2,0,3,6,7,10,0,7,11,6,4
2020-03-13,4,3,0,4,6,11,21,0,7,20,6,3
2020-03-14,6,5,0,6,6,9,31,1,10,25,11,11
2020-03-15,6,7,0,7,10,12,39,2,16,28,11,15
2020-03-16,7,7,1,7,10,12,44,2,20,29,15,17
2020-03-17,6,7,1,7,12,22,49,5,21,30,15,20
2020-03-18,9,7,4,8,15,24,57,5,25,33,16,24
2020-03-19,12,8,6,9,17,18,71,6,33,35,24,27
2020-03-20,16,9,10,12,23,19,91,6,41,40,24,31
2020-03-21,21,10,13,13,27,20,110,8,49,44,24,34
2020-03-22,25,11,16,16,30,23,130,8,49,46,24,38
2020-03-23,34,12,18,19,40,24,152,12,58,59,24,47
2020-03-24,41,12,26,25,43,24,183,13,75,70,24,48
2020-03-25,57,15,31,29,59,29,221,22,87,88,24,57
