date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Shetland,Tayside
2020-03-06,,,,,,,,,,,,
2020-03-07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-11,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
2020-03-12,1.0,0.0,0.0,1.0,4.0,1.0,5.0,0.0,3.0,3.0,4.0,2.0
2020-03-13,0.0,1.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,9.0,0.0,-1.0
2020-03-14,2.0,2.0,0.0,2.0,0.0,-2.0,10.0,1.0,3.0,5.0,5.0,8.0
2020-03-15,0.0,2.0,0.0,1.0,4.0,3.0,8.0,1.0,6.0,3.0,0.0,4.0
2020-03-16,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,4.0,2.0
2020-03-17,-1.0,0.0,0.0,0.0,2.0,10.0,5.0,3.0,1.0,1.0,0.0,3.0
2020-03-18,3.0,0.0,3.0,1.0,3.0,2.0,8.0,0.0,4.0,3.0,1.0,4.0
2020-03-19,3.0,1.0,2.0,1.0,2.0,-6.0,14.0,1.0,8.0,2.0,8.0,3.0
2020-03-20,4.0,1.0,4.0,3.0,6.0,1.0,20.0,0.0,8.0,5.0,0.0,4.0
2020-03-21,5.0,1.0,3.0,1.0,4.0,1.0,19.0,2.0,8.0,4.0,0.0,3.0
2020-03-22,4.0,1.0,3.0,3.0,3.0,3.0,20.0,0.0,0.0,2.0,0.0,4.0
2020-03-23,9.0,1.0,2.0,3.0,10.0,1.0,22.0,4.0,9.0,13.0,0.0,9.0
2020-03-24,7.0,0.0,8.0,6.0,3.0,0.0,31.0,1.0,17.0,11.0,0.0,1.0
2020-03-25,16.0,3.0,5.0,4.0,16.0,5.0,38.0,9.0,12.0,18.0,0.0,9.0
