Health Board,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24
Ayrshire and Arran,0.0,0.0,0.0,0.0,66.67,25.0,0.0,33.33,0.0,14.29,-16.67,33.33,25.0,25.0,23.81,16.0,26.47,17.07
Borders,,,,,First Case Confirmed,0.0,33.33,40.0,28.57,0.0,0.0,0.0,12.5,11.11,10.0,9.09,8.33,0.0
Dumfries and Galloway,,,,,,,,,,First Case Confirmed,0.0,75.0,33.33,40.0,23.08,18.75,11.11,30.77
Fife,0.0,0.0,0.0,0.0,0.0,33.33,25.0,33.33,14.29,0.0,0.0,12.5,11.11,25.0,7.69,18.75,15.79,24.0
Forth Valley,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,40.0,0.0,16.67,20.0,11.76,26.09,14.81,10.0,25.0,6.98
Grampian,25.0,0.0,0.0,33.33,0.0,14.29,36.36,-22.22,25.0,0.0,45.45,8.33,-33.33,5.26,5.0,13.04,4.17,0.0
Greater Glasgow and Clyde,50.0,33.33,0.0,0.0,40.0,50.0,52.38,32.26,20.51,11.36,10.2,14.04,19.72,21.98,17.27,15.38,14.47,16.94
Highland,,,,,,,,First Case Confirmed,50.0,0.0,60.0,0.0,16.67,0.0,25.0,0.0,33.33,7.69
Lanarkshire,First Case Confirmed,0.0,33.33,0.0,25.0,42.86,0.0,30.0,37.5,20.0,4.76,16.0,24.24,19.51,16.33,0.0,15.52,22.67
Lothian,50.0,33.33,40.0,28.57,12.5,27.27,45.0,20.0,10.71,3.45,3.33,9.09,5.71,12.5,9.09,4.35,22.03,15.71
Shetland,,,First Case Confirmed,0.0,0.0,66.67,0.0,45.45,0.0,26.67,0.0,6.25,33.33,0.0,0.0,0.0,0.0,0.0
Tayside,0.0,0.0,0.0,0.0,50.0,50.0,-33.33,72.73,26.67,11.76,15.0,16.67,11.11,12.9,8.82,10.53,19.15,2.08
