Health board area,0,1,2,3,4,1_1
Ayrshire and Arran,East Ayrshire,North Ayrshire,,,,South Ayrshire
Borders,Scottish Borders,,,,,
Dumfries and Galloway,Dumfries and Galloway,,,,,
Fife,Fife,,,,,
Forth Valley,Clackmannanshire,Falkirk,,,,Stirling
Grampian,Aberdeenshire,City of Aberdeen,,,,Moray
Greater Glasgow and Clyde,City of Glasgow,East Dunbartonshire,East Renfrewshire,Inverclyde,Renfrewshire,West Dunbartonshire
Highland,Argyll and Bute,,,,,Highland
Lanarkshire,North Lanarkshire,,,,,South Lanarkshire
Lothian,City of Edinburgh,East Lothian,Midlothian,,,West Lothian
Orkney,Orkney Islands,,,,,
Shetland,Shetland Islands,,,,,
Tayside,Angus,City of Dundee,,,,Perth and Kinross
Western Isles (Eileanan Siar),Na h-Eileanan Siar (Western Isles),,,,,
